Species Name,C,O,N,S,MolWeight,Henry,"log10VpSIMPOL, 298K","log10VpSIMPOL, 400K",log10Vp_MC298K,log10Vp_MC400K,alkyl OH,aromatic OH,aldehyde,ketone,acid,ROOH,per acid,ester,alkyl ether,alicyclic ether,aromatic ether,peroxide,nitrate,nitro
C5PAN13,5,7,1,0,195.127,636.9426752,-8.720586371,-4.440117234,-6.299034851,-2.4322533,2,0,0,0,0,0,0,1,1,0,0,0,1,0
C5PAN12,5,7,1,0,195.127,636.9426752,-8.720586371,-4.440117234,-6.299034851,-2.4322533,2,0,0,0,0,0,0,1,1,0,0,0,1,0
C5PAN15,5,6,1,0,179.128,99009.90099,-6.537169042,-3.064997554,-5.518188537,-2.017072707,1,0,0,0,0,0,0,1,1,0,0,0,1,0
C5PAN14,5,6,1,0,179.128,99009.90099,-6.537169042,-3.064997554,-5.518188537,-2.017072707,1,0,0,0,0,0,0,1,1,0,0,0,1,0
C5PAN17,5,6,1,0,177.112,179533.2136,-6.645344617,-3.240009019,-5.513273047,-2.012157217,1,0,0,0,0,0,0,1,1,0,0,0,1,0
C5PAN16,5,6,1,0,177.112,9523.809524,-5.290213124,-2.63997278,-5.513273047,-2.012157217,0,0,0,1,0,0,0,1,1,0,0,0,1,0
C820O2,8,6,0,0,203.17,1.78E+14,-7.252418646,-4.25958391,-7.944704445,-3.277389833,1,0,0,3,0,0,0,0,1,0,0,0,0,0
PPRBQOH,9,4,0,0,186.207,1344.086022,-8.326962129,-4.645349849,-6.070193615,-2.305939086,2,0,0,2,0,0,0,0,0,0,0,0,0,0
C7DCPAN,7,6,1,0,203.15,21598.27214,-6.247560948,-3.384893498,-6.227797131,-2.404646715,0,0,0,1,0,0,0,1,1,0,0,0,1,0
BOXPRONEAO,7,3,0,0,145.178,2849002.849,-2.77149237,-0.699319791,-4.45255996,-1.430529571,0,0,0,1,0,0,0,0,1,0,0,0,0,0
HO3C5CO3,6,4,0,0,147.15,6329113.924,-4.07083111,-1.319142021,-5.198919417,-1.812792988,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HO3C3PAN,4,6,1,0,165.101,30.95975232,-6.112582917,-2.780042928,-5.167063854,-1.821179749,1,0,0,0,0,0,0,1,1,0,0,0,1,0
HO12CO3C4,4,3,0,0,104.105,2666.666667,-5.159394521,-2.095470346,-3.564773596,-0.908244074,2,0,0,1,0,0,0,0,0,0,0,0,0,0
C3MNO3PAN,5,8,2,0,224.125,1349.527665,-7.244675769,-3.720688034,-5.561439838,-2.086912373,0,0,0,0,0,0,0,1,2,0,0,0,2,0
CHOCL,2,1,0,0,64.471,1.098901099,1.417659922,2.4597278,-0.78065689,0.609275917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C826CO3OOH,8,4,0,0,172.18,41666666.67,-5.975903284,-3.145499451,-5.747875187,-2.125377249,0,0,0,2,0,1,0,0,0,0,0,0,0,0
HEXCO,6,1,0,0,101.169,56.81818182,-0.705270699,1.034954668,-2.471978036,-0.346655751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H13CO2CO3,4,6,0,0,149.078,44052.86344,-6.341537602,-3.074447354,-7.620372708,-3.046422899,2,0,0,1,0,0,0,1,0,0,0,0,0,0
HO13M2C4,5,2,0,0,104.149,3267.973856,-4.647519233,-1.430330066,-2.802199969,-0.52071009,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIC3NO3,9,3,1,0,181.191,35.46099291,-5.537964388,-2.347377697,-4.744720772,-1.626356127,0,0,0,0,0,0,0,0,1,0,0,0,1,0
EOX2ETA2OH,4,3,0,0,106.121,492610.8374,-4.928107243,-1.644600365,-3.573103341,-0.91657382,2,0,0,0,0,0,0,0,1,0,0,0,0,0
CHCL2O,3,1,0,0,99.924,2994.011976,1.417659922,2.4597278,-1.289228961,0.25719221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMALNHYOOH,7,6,0,0,190.151,265957.4468,-6.957922702,-3.430946138,-7.776019303,-3.177503931,1,0,0,0,0,1,0,1,0,0,0,0,0,0
HEX2ONANO3,6,4,1,0,161.157,3205.128205,-4.532656167,-1.945950398,-4.343563325,-1.397422745,0,0,0,1,0,0,0,0,1,0,0,0,1,0
NPRACBNO3,5,5,1,0,163.129,1201.923077,-4.353751713,-1.689877874,-4.739765324,-1.601413503,0,0,0,0,0,0,0,1,1,0,0,0,1,0
C622CHO,7,2,0,0,128.171,111111.1111,-4.741040064,-1.741580571,-3.590693368,-0.965827866,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BUTDBO2,4,3,0,0,103.097,2298850.575,-2.85286549,-0.44449215,-3.560548036,-0.904018514,1,0,0,0,0,0,0,0,1,0,0,0,0,0
C4ECO2O2,6,4,0,0,145.134,18975332.07,-3.666496581,-1.355814632,-5.192928315,-1.806801887,0,0,1,1,0,0,0,0,1,0,0,0,0,0
MPRBNO3CHO,4,4,1,0,133.103,3105.590062,-4.066612843,-1.367395707,-3.589421995,-0.973244373,0,0,1,0,0,0,0,0,1,0,0,0,1,0
C4OHCO3,5,4,0,0,133.123,1976.284585,-3.646244985,-1.034187394,-4.984290024,-1.682302587,1,0,0,0,0,0,0,1,0,0,0,0,0,0
BCKET,14,1,0,0,206.329,4.424778761,-5.190883742,-2.952800519,-6.247586091,-2.418021334,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HPC52OOH,5,6,0,0,166.129,4716981132,-8.664416115,-4.067347031,-7.605613692,-3.062045821,1,0,1,0,0,2,0,0,0,0,0,0,0,0
C111O2,11,3,0,0,201.286,22573.36343,-4.469836867,-1.839138296,-5.986244149,-2.279894427,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BRETO2H,2,2,0,0,138.948,15847.86054,-2.519061531,-0.186342401,-2.250811451,-0.301991631,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DMMALANHY,6,3,0,0,126.111,103.626943,-2.017732886,-0.410539708,-4.09911212,-1.220802558,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KLIMONONIC,9,4,0,0,186.207,1724137931,-7.364087224,-4.081214599,-6.070193615,-2.305939086,0,0,0,2,1,0,0,0,0,0,0,0,0,0
