Species Name,C,O,N,S,MolWeight,Henry,"log10VpSIMPOL, 298K","log10VpSIMPOL, 400K",log10Vp_MC298K,log10Vp_MC400K,alkyl OH,aromatic OH,aldehyde,ketone,acid,ROOH,per acid,ester,alkyl ether,alicyclic ether,aromatic ether,peroxide,nitrate,nitro
C918NO3,9,5,1,0,215.205,4464285.714,-7.148148407,-4.033769648,-6.215600794,-2.410756895,0,0,1,1,0,0,0,0,1,0,0,0,1,0
C134CO,13,6,0,0,270.281,2.48E+16,-10.54309796,-7.085321929,-9.254874668,-4.004311001,1,0,0,5,0,0,0,0,0,0,0,0,0,0
NBUTACET,6,2,0,0,116.16,2.43902439,-1.887413781,0.055977659,-3.186415754,-0.739317843,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C124O2,12,4,0,0,229.296,6289308.176,-5.830884403,-3.074187829,-7.145355629,-2.896904237,0,0,0,2,0,0,0,0,1,0,0,0,0,0
PROL1MPAN,5,6,1,0,179.128,23.31002331,-6.537169042,-3.064997554,-5.518188537,-2.017072707,1,0,0,0,0,0,0,1,1,0,0,0,1,0
BCCOOH,15,3,0,0,254.37,375939.8496,-9.302787721,-5.198123509,-7.657725041,-3.179507167,1,0,0,0,0,1,0,0,0,0,0,0,0,0
IPRHOCO2H,4,3,0,0,104.105,6622.516556,-5.551651108,-2.131371335,-3.564773596,-0.908244074,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TM124NO2O,8,7,1,0,232.168,14836795252,-8.577567618,-5.27962989,-7.347383177,-3.002254986,2,0,0,0,0,0,0,0,0,0,0,1,0,1
C3EODBCO2H,6,3,0,0,128.127,2873563.218,-5.645171939,-2.44262184,-4.105999808,-1.227690246,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DMEBPOXMUC,10,3,0,0,182.219,833333.3333,-5.456620909,-2.767866085,-5.571968194,-2.048062816,0,0,1,1,0,0,0,0,0,1,0,0,0,0
DNMXYOLOOH,8,10,2,0,294.172,4.65E+15,-13.12929852,-8.190261158,-8.112991039,-3.441966708,2,0,0,0,0,1,0,0,0,0,0,1,0,2
C4ME2OHNO3,6,4,1,0,163.173,33444.81605,-5.779612085,-2.370975172,-4.348962449,-1.402821869,1,0,0,0,0,0,0,0,1,0,0,0,1,0
C920CO3,10,5,0,0,215.225,2849002.849,-6.727780549,-3.700561335,-7.358318534,-2.991632218,1,0,0,1,0,0,0,1,0,0,0,0,0,0
MIPKAO,5,2,0,0,101.125,73.52941176,-1.217145987,0.369814388,-2.789403399,-0.50791352,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BUT2OLAO,4,2,0,0,89.114,4347.826087,-2.03951578,0.229744241,-2.434771755,-0.30065057,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C823CO,8,3,0,0,156.181,546448.0874,-6.494344188,-3.012531093,-4.804914622,-1.625235185,0,0,1,0,1,0,0,0,0,0,0,0,0,0
M3BU2OLOOH,5,3,0,0,120.148,1290322.581,-4.904463842,-1.590553975,-3.824725696,-1.070985658,1,0,0,0,0,1,0,0,0,0,0,0,0,0
METLBIPRO2,9,5,0,0,201.198,108813928.2,-5.412541579,-3.313402082,-7.066425667,-2.828868709,1,0,0,0,0,0,0,0,1,0,0,1,0,0
PXYCATECH,8,2,0,0,138.166,14084507.04,-6.453526464,-3.53747866,-4.002160335,-1.191015553,0,2,0,0,0,0,0,0,0,0,0,0,0,0
M3HEXBNO3,7,3,1,0,161.201,0.917431193,-4.02078088,-1.280810118,-3.983921882,-1.2146715,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C124OH,12,3,0,0,214.305,26455.02646,-7.309127598,-3.950082584,-6.394791454,-2.500946496,1,0,0,2,0,0,0,0,0,0,0,0,0,0
PRCOOMCHO,6,3,0,0,130.143,495.049505,-3.207004117,-0.885471808,-4.112779964,-1.234470403,0,0,1,0,0,0,0,1,0,0,0,0,0,0
PTLQONE,7,2,0,0,122.123,523560.2094,-3.241274328,-1.791718603,-3.569701059,-0.944835558,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TM123MUCO,9,5,0,0,201.198,194552529.2,-6.724147614,-3.691665112,-7.066425667,-2.828868709,1,0,0,2,0,0,0,0,0,1,0,0,0,0
C137CO,13,3,0,0,224.3,300300.3003,-8.63941834,-4.728810127,-6.804263424,-2.718819378,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MBOAOOH,5,4,0,0,136.147,35335689.05,-7.087881171,-2.965673655,-4.994045004,-1.692057567,2,0,0,0,0,1,0,0,0,0,0,0,0,0
C4M2NO33O,5,4,1,0,148.138,44444.44444,-3.171608631,-0.710900865,-3.967978405,-1.188521642,0,0,0,0,0,0,0,0,1,0,0,0,1,0
EPXDLCO2H,4,4,0,0,116.072,24213075.06,-5.376602504,-2.29414753,-4.822886618,-1.57099141,0,0,1,0,1,0,0,0,0,1,0,0,0,0
BOXCOCOMO,7,4,0,0,159.161,16750418.76,-2.066318235,-0.200094865,-5.454477628,-1.959450925,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ME3BU2OLO,5,2,0,0,103.141,3267.973856,-2.464101904,-0.055210386,-2.797976203,-0.516486323,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOHCO3H,3,4,0,0,126.495,13123.35958,-3.619596253,-0.872793899,-4.857275367,-1.606834155,1,0,0,0,0,0,1,0,0,0,0,0,0,0
BOXCOCOME,7,3,0,0,144.17,613.4969325,-2.066318235,-0.200094865,-4.449534049,-1.42750366,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MALDIAL,4,2,0,0,84.074,48309.17874,-2.603454698,-0.45304648,-2.409487528,-0.275366343,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C6PAN21,6,6,1,0,193.155,74626.86567,-6.961755166,-3.349952181,-5.875140105,-2.214614085,1,0,0,0,0,0,0,1,1,0,0,0,1,0
DEMPHOLOOH,11,6,0,0,246.259,1430615165,-10.18031896,-6.294549678,-8.66554538,-3.684872947,2,0,0,0,0,1,0,0,0,0,0,1,0,0
C6PAN23,6,6,1,0,193.155,17.54385965,-6.961755166,-3.349952181,-5.875140105,-2.214614085,1,0,0,0,0,0,0,1,1,0,0,0,1,0
C6PAN22,6,6,1,0,193.155,74626.86567,-6.961755166,-3.349952181,-5.875140105,-2.214614085,1,0,0,0,0,0,0,1,1,0,0,0,1,0
HO13C5O2,5,4,0,0,135.139,35335689.05,-5.352693368,-1.929554992,-4.990817629,-1.688830192,2,0,0,0,0,0,0,0,1,0,0,0,0,0
EBZMUCOOH,8,6,0,0,204.178,3.38E+13,-9.123052351,-4.933408636,-7.94685381,-3.279539198,1,0,1,1,0,1,0,0,0,1,0,0,0,0
NMETOL1O2,9,4,1,0,196.182,62111.80124,-5.463583434,-2.191080142,-5.471547154,-2.01278401,0,0,0,0,0,0,0,0,1,0,0,0,0,1
DMKOHOOH,6,5,0,0,162.141,220750551.9,-7.201972789,-3.775698414,-6.387161089,-2.437504908,1,0,0,2,0,1,0,0,0,0,0,0,0,0
C9M2CO6O2,10,4,0,0,199.226,20040080.16,-5.08988773,-2.679290041,-6.410676595,-2.493441267,0,0,0,2,0,0,0,0,1,0,0,0,0,0
IPBZBPR2OH,9,4,0,0,186.207,275482.0937,-6.890784774,-4.189296836,-6.070193615,-2.305939086,2,0,0,0,0,0,0,0,0,0,0,1,0,0
MPRK,5,1,0,0,86.134,11.45475372,-1.217145987,0.369814388,-1.991100433,-0.067864855,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NOA,3,4,1,0,119.076,7518.796992,-3.258897794,-1.091086519,-3.218872674,-0.761110369,0,0,0,1,0,0,0,0,1,0,0,0,1,0
BIACETOOH,4,4,0,0,118.088,7751937.984,-4.169383211,-1.830669481,-4.830364918,-1.57846971,0,0,0,2,0,1,0,0,0,0,0,0,0,0
HEPTOH,7,1,0,0,116.204,42.73504274,-3.313274153,-0.625119639,-2.952430228,-0.620461402,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C6CO4MEDB,9,4,0,0,182.175,934579439.3,-6.599308143,-3.778009424,-6.06068639,-2.296431861,0,0,2,2,0,0,0,0,0,0,0,0,0,0
ACBUONEAO,6,4,0,0,145.134,174520069.8,-2.823875192,-0.894117247,-5.192928315,-1.806801887,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PEBQONE,8,2,0,0,136.15,393700.7874,-3.665860452,-2.076673229,-3.995776796,-1.184632014,0,0,0,2,0,0,0,0,0,0,0,0,0,0
C42OH,4,6,1,0,165.101,543478.2609,-8.433447501,-4.117635067,-5.167063854,-1.821179749,2,0,1,0,0,0,0,0,1,0,0,0,1,0
C63NO3,6,5,1,0,177.156,87719298.25,-6.716073496,-3.321070078,-5.106880925,-1.805636858,1,0,0,1,0,0,0,0,1,0,0,0,1,0
TBOCOCH2O,6,3,0,0,131.151,15.625,-1.887413781,0.055977659,-4.116130757,-1.237821195,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NPETOLO2,9,8,1,0,262.194,34246575342,-8.303465636,-5.344212242,-8.461898076,-3.594745892,1,0,0,0,0,0,0,0,2,0,0,1,1,0
NPTLQO,7,6,1,0,200.126,311526479.8,-6.024022809,-3.647517298,-6.221283819,-2.398133404,0,0,0,2,0,0,0,0,1,0,0,0,1,0
C514OH,5,3,0,0,116.116,248138957.8,-5.103282576,-1.938109321,-3.809901217,-1.056161179,1,0,2,0,0,0,0,0,0,0,0,0,0,0
C620O2,6,5,0,0,159.117,27322404372,-4.986086918,-2.2972641,-6.378984823,-2.429328642,0,0,2,1,0,0,0,0,1,0,0,0,0,0
ACETC2CO2H,5,4,0,0,132.115,578034.6821,-4.974962985,-2.020183289,-4.980989057,-1.67900162,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C917NO3,9,5,1,0,215.205,8130081.301,-6.765019482,-4.042415086,-6.215600794,-2.410756895,0,0,0,2,0,0,0,0,1,0,0,0,1,0
METHACETO2,3,4,0,0,105.069,61728.39506,-1.318829542,0.411616613,-4.776676607,-1.526235394,0,0,0,0,0,0,0,1,1,0,0,0,0,0
C44O,4,4,0,0,117.08,9615384.615,-4.687824115,-1.697701122,-4.826641864,-1.574746656,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C620OH,6,4,0,0,144.126,114810562.6,-6.464330112,-3.173158854,-5.189901484,-1.803775055,1,0,2,1,0,0,0,0,0,0,0,0,0,0
C711O2,7,4,0,0,161.177,271002710,-4.954909699,-2.074439471,-5.459944037,-1.964917334,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CNO3OCL,3,4,1,0,139.494,558.6592179,-1.897850258,0.143963014,-3.287603964,-0.82984166,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NEBNZOLOOH,8,8,1,0,249.175,53763440860,-9.614067314,-6.095376278,-8.109738617,-3.404864199,1,0,0,0,0,1,0,0,1,0,0,1,1,0
C514O2,5,4,0,0,131.107,98039215.69,-3.625039382,-1.062214567,-4.977662808,-1.675675371,0,0,2,0,0,0,0,0,1,0,0,0,0,0
NPETOLOH,9,7,1,0,247.203,86956521.74,-9.78170883,-6.220106996,-7.709525387,-3.199734905,2,0,0,0,0,0,0,0,1,0,0,1,1,0
C731OOH,7,4,0,0,160.169,101112234.6,-5.826270509,-2.676887921,-5.457219433,-1.96219273,0,0,1,1,0,1,0,0,0,0,0,0,0,0
IC3H7O,3,1,0,0,59.088,132.9787234,0.568487674,1.889818547,-1.061058441,0.48536273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HO2C54O,5,2,0,0,103.141,3267.973856,-2.464101904,-0.055210386,-2.797976203,-0.516486323,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C42O2,4,7,1,0,180.092,215053763.4,-6.955204307,-3.241740313,-5.955346753,-2.24043094,1,0,1,0,0,0,0,0,2,0,0,0,1,0
NC524OOH,5,8,1,0,213.142,3.58E+11,-12.16222256,-6.371603495,-7.085618572,-2.850939213,3,0,0,0,0,1,0,0,1,0,0,0,1,0
C51NO324CO,5,5,1,0,161.113,11135857.46,-5.044531455,-2.611090678,-4.734364735,-1.596012914,0,0,0,2,0,0,0,0,1,0,0,0,1,0
C62NO335CO,6,5,1,0,175.14,8403361.345,-5.469117579,-2.896045305,-5.101910405,-1.800666338,0,0,0,2,0,0,0,0,1,0,0,0,1,0
C1011O,10,2,0,0,169.244,172117.0396,-3.362220139,-1.346464647,-4.882605765,-1.681879039,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C925OOH,9,6,0,0,220.221,9.90E+12,-10.65914849,-6.005681973,-8.160717881,-3.404400453,2,0,0,2,0,1,0,0,0,0,0,0,0,0
H14CO23C4,4,4,0,0,118.088,208.3333333,-6.095855932,-3.045565252,-4.830364918,-1.57846971,2,0,0,2,0,0,0,0,0,0,0,0,0,0
C624CO,6,2,0,0,114.144,502512.5628,-3.933325015,-1.465271383,-3.178812238,-0.731714327,1,0,0,1,0,0,0,0,0,0,0,0,0,0
T124CAT1O2,9,3,0,0,167.184,2832861.19,-5.467750594,-2.568725338,-5.176353862,-1.828579211,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CO24M3C5,6,2,0,0,114.144,22573.36343,-2.578193523,-0.865235145,-3.178812238,-0.731714327,0,0,0,2,0,0,0,0,0,0,0,0,0,0
H3C2C4CO2H,5,4,0,0,132.115,13106159.9,-6.912698644,-3.366420867,-4.980989057,-1.67900162,1,0,0,1,1,0,0,0,0,0,0,0,0,0
CO2C4CHO,5,2,0,0,100.117,16501.65017,-2.536736323,-0.57163508,-2.785052692,-0.503562813,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MIBKBOOH,6,3,0,0,132.159,13157.89474,-4.082094048,-1.450483827,-4.119455894,-1.241146333,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NPETLQO2,9,7,1,0,244.179,42016806723,-7.578369192,-4.716651477,-7.704179961,-3.194389479,0,0,0,2,0,0,0,0,2,0,0,0,1,0
HC4CO3,5,4,0,0,131.107,2247.191011,-3.754420561,-1.209198859,-4.977662808,-1.675675371,1,0,0,0,0,0,0,1,0,0,0,0,0,0
C6H5OOH,6,2,0,0,110.112,396.8253968,-3.813643896,-0.997047246,-3.163193801,-0.71609589,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C3MDIALO,4,3,0,0,101.081,77519.37984,-2.495279123,-0.278035015,-3.551971537,-0.895442016,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HEPTO2,7,2,0,0,131.195,26.80965147,-1.835030958,0.250775116,-3.600820879,-0.975955377,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PXYMUCNO3,8,7,1,0,233.176,8.20E+12,-9.57361447,-5.428875207,-7.349264665,-3.004136474,1,0,1,1,0,0,0,0,1,1,0,0,1,0
H13C43CO3,5,5,0,0,149.122,54054.05405,-5.829662315,-2.409307074,-6.25680087,-2.353367968,2,0,0,0,0,0,0,1,0,0,0,0,0,0
CHOC4PAN,6,6,1,0,191.139,3952.56917,-6.097928173,-2.916281968,-5.87058346,-2.21005744,0,0,1,0,0,0,0,1,1,0,0,0,1,0
C624NO3,6,4,1,0,161.157,38022.81369,-5.88778766,-2.545986637,-4.343563325,-1.397422745,1,0,0,0,0,0,0,0,1,0,0,0,1,0
CO25C74OOH,7,4,0,0,160.169,25974025.97,-5.443141584,-2.68553336,-5.457219433,-1.96219273,0,0,0,2,0,1,0,0,0,0,0,0,0,0
C514O,5,3,0,0,115.108,248138957.8,-2.919865247,-0.562989641,-3.806114659,-1.05237462,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C1010OOH,10,4,0,0,200.234,92592592.59,-7.208204457,-3.706763266,-6.412868402,-2.495633074,0,0,1,1,0,1,0,0,0,0,0,0,0,0
DIIPRETOH,6,2,0,0,118.176,10214.5046,-3.593862163,-0.839389938,-3.193888437,-0.746790525,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ME2BUOLO,5,2,0,0,103.141,3267.973856,-2.464101904,-0.055210386,-2.797976203,-0.516486323,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C4MCODBCO2,6,3,0,0,127.119,5208333.333,-1.749907686,-0.090151703,-4.102569618,-1.224260057,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C4MCODBCO3,6,4,0,0,143.118,2061855.67,-2.932050767,-1.069128712,-5.186853409,-1.80072698,0,0,0,1,0,0,0,1,0,0,0,0,0,0
C46PAN,5,6,1,0,177.112,211864.4068,-6.645344617,-3.240009019,-5.513273047,-2.012157217,1,0,0,0,0,0,0,1,1,0,0,0,1,0
TMB2FUOOH,7,5,0,0,176.168,173611111.1,-6.957922702,-3.430946138,-6.576219508,-2.551322921,1,0,0,0,0,1,0,1,0,0,0,0,0,0
MIBKHO4O,6,3,0,0,131.151,1512.859304,-3.82514944,-1.290259919,-4.116130757,-1.237821195,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CL2OHCH2O,4,2,0,0,129.95,61728.39506,-1.190343531,0.799653494,-2.598602101,-0.464480916,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H3C25CCO3H,7,6,0,0,190.151,7692307692,-7.615449698,-4.197756844,-7.776019303,-3.177503931,1,0,0,2,0,0,1,0,0,0,0,0,0,0
ETBEAOH,6,2,0,0,118.176,10214.5046,-3.593862163,-0.839389938,-3.193888437,-0.746790525,1,0,0,0,0,0,0,0,1,0,0,0,0,0
C126NO3,12,4,1,0,241.287,833.3333333,-7.593620944,-4.113550086,-6.625568074,-2.643575489,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ETBEAO2,6,3,0,0,133.167,4032.258065,-2.115618968,0.036504817,-4.122755767,-1.244446205,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HM22C4O,6,2,0,0,117.168,2463.054187,-2.888688029,-0.340165012,-3.190168167,-0.743070256,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C823OOH,8,4,0,0,174.196,4098360.656,-7.615115789,-3.606425214,-5.752930662,-2.130432723,0,0,0,0,1,1,0,0,0,0,0,0,0,0
C616O2,6,5,0,0,159.117,27322404372,-4.986086918,-2.2972641,-6.378984823,-2.429328642,0,0,2,1,0,0,0,0,1,0,0,0,0,0
C88OOH,8,4,0,0,172.18,44444444.44,-5.889871239,-3.261993889,-5.747875187,-2.125377249,0,0,0,2,0,1,0,0,0,0,0,0,0,0
C1013CO2H,11,4,0,0,214.261,239234.4498,-7.544623261,-4.021416951,-6.771668945,-2.692473452,0,0,0,0,1,0,0,1,0,0,0,0,0,0
DIIPRETO2,6,3,0,0,133.167,4032.258065,-2.115618968,0.036504817,-4.122755767,-1.244446205,0,0,0,0,0,0,0,0,2,0,0,0,0,0
M2BKAOOH,6,3,0,0,132.159,93457.94393,-4.082094048,-1.450483827,-4.119455894,-1.241146333,0,0,0,1,0,1,0,0,0,0,0,0,0,0
MMALANHY,5,3,0,0,112.084,162.3376623,-1.593146762,-0.125585081,-3.794552772,-1.040812733,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C312COCO3H,4,5,0,0,132.071,196463654.2,-4.541402921,-1.959127846,-6.188744395,-2.292845267,0,0,1,1,0,0,1,0,0,0,0,0,0,0
MEK2OO,4,3,0,0,102.089,NaN,-1.729021274,-0.295325892,-3.556280957,-0.899751436,0,0,0,2,0,0,0,0,0,0,0,0,0,0
C7EDCOOH,7,5,0,0,176.168,166389351.1,-7.626558914,-4.06065304,-6.576219508,-2.551322921,1,0,0,2,0,1,0,0,0,0,0,0,0,0
NMXYQO2,8,7,1,0,230.152,55865921788,-7.153783068,-4.43169685,-7.34359557,-2.998467379,0,0,0,2,0,0,0,0,2,0,0,0,1,0
PXYL1O2,7,2,0,0,123.131,359.7122302,-2.503042217,-0.24588321,-3.573271002,-0.9484055,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C827OOH,8,4,0,0,174.196,19569471.62,-5.867727709,-2.970487986,-5.752930662,-2.130432723,0,0,0,2,0,1,0,0,0,0,0,0,0,0
NDNPBZLOOH,9,12,3,0,353.196,5.62E+16,-14.26139137,-9.130906264,-8.450692784,-3.652671311,1,0,0,0,0,1,0,0,1,0,0,1,1,2
CO23C5,5,2,0,0,100.117,3816.793893,-2.153607398,-0.580280518,-2.785052692,-0.503562813,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO23C6,6,2,0,0,114.144,2873.563218,-2.578193523,-0.865235145,-3.178812238,-0.731714327,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TOL1O,7,1,0,0,107.132,1615.508885,-1.797868083,0.253341716,-2.917128363,-0.585159537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH3SOO2,1,3,0,1,95.099,3952569.17,0.712485788,1.960502875,-3.683535101,-0.949290549,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IPROPOLPER,3,4,0,0,106.077,3484.320557,-4.044182378,-1.157748526,-4.780823236,-1.530382024,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NDNPETLOOH,9,12,3,0,353.196,4.76E+16,-14.26139137,-9.130906264,-8.450692784,-3.652671311,1,0,0,0,0,1,0,0,1,0,0,1,1,2
C61O,6,3,0,0,131.151,6451612.903,-3.82514944,-1.290259919,-4.116130757,-1.237821195,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C3NO3COOOH,3,6,1,0,151.074,11428571.43,-5.699259732,-2.626430108,-4.824123879,-1.627900209,0,0,0,1,0,1,0,0,1,0,0,0,1,0
C1312O,13,4,0,0,241.307,2724795640,-8.225018222,-4.401403236,-7.523982012,-3.100266469,1,0,1,1,0,0,0,0,0,0,0,0,0,0
PROL1MCO3,5,4,0,0,133.123,1976.284585,-3.646244985,-1.034187394,-4.984290024,-1.682302587,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CH3CHOHCHO,3,2,0,0,74.079,71.42857143,-2.934519992,-0.426750601,-2.114154262,-0.098218832,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C78O,7,3,0,0,145.178,1138.952164,-4.249735564,-1.575214545,-4.45255996,-1.430529571,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MNO3COC4O,6,5,1,0,176.148,87719298.25,-4.532656167,-1.945950398,-5.104402776,-1.803158709,0,0,0,1,0,0,0,0,1,0,0,0,1,0
BZEMUCCO3H,6,5,0,0,158.109,81967213.11,-5.251067722,-2.350400066,-6.376224833,-2.426568652,0,0,1,0,0,0,1,0,0,1,0,0,0,0
MACRNB,4,5,1,0,149.102,19920.31873,-6.250030172,-2.742515387,-4.377295397,-1.397966872,1,0,1,0,0,0,0,0,1,0,0,0,1,0
COHM2CO3H,4,5,0,0,134.087,3773584.906,-5.788358838,-2.38415262,-6.195323602,-2.299424475,1,0,1,0,0,0,1,0,0,0,0,0,0,0
TL4OHNO2O2,7,8,1,0,234.14,4.17E+12,-8.858155628,-5.493900189,-7.757556431,-3.212556477,2,0,0,0,0,0,0,0,1,0,0,1,0,1
PHIC3O,9,1,0,0,135.186,2610.966057,-2.647040332,-0.316567537,-3.875390868,-1.121921259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTNCATECO,9,8,1,0,262.194,38461538462,-11.18557107,-6.939704196,-8.461898076,-3.594745892,3,0,0,0,0,0,0,0,0,0,0,1,0,1
OTNCATECH,9,4,1,0,197.19,847457.6271,-8.989481556,-5.197720966,-5.473772884,-2.015009739,0,2,0,0,0,0,0,0,0,0,0,0,0,1
DM124O,8,1,0,0,121.159,1464.128843,-2.222454207,-0.031612911,-3.397025942,-0.855370685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCATEC1O,9,2,0,0,151.185,10604453.87,-4.76257646,-2.069500412,-4.432713309,-1.429098925,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DMMBO2,3,4,0,0,107.085,213675.2137,-1.54703473,0.39214377,-4.784930649,-1.534489436,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MTBKNO3,6,4,1,0,161.157,3205.128205,-4.532656167,-1.945950398,-4.343563325,-1.397422745,0,0,0,1,0,0,0,0,1,0,0,0,1,0
NISOPNO3,5,6,2,0,192.127,581.3953488,-6.170708263,-2.91672249,-4.002613461,-1.261649526,0,0,0,0,0,0,0,0,2,0,0,0,2,0
HNC524CO,5,7,1,0,195.127,11210762.33,-11.04145095,-5.777709374,-6.299034851,-2.4322533,3,0,1,0,0,0,0,0,1,0,0,0,1,0
C720O,7,2,0,0,127.163,4048.582996,-3.443593259,-1.091637006,-3.58726436,-0.962398859,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C139NO3,13,7,1,0,303.311,724637681.2,-13.09934352,-7.692515425,-9.169732311,-3.985652435,1,0,0,0,1,0,0,0,2,0,0,0,1,0
H3M3C5CHO,7,2,0,0,130.187,98039.21569,-4.632864489,-1.566569106,-3.597471214,-0.972605713,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C5ONO34OOH,5,6,1,0,179.128,45871559.63,-6.54843198,-3.196339361,-5.518188537,-2.017072707,0,0,0,1,0,1,0,0,1,0,0,0,1,0
IPECO,5,1,0,0,87.142,75.18796992,-0.280684575,1.319909294,-1.99615334,-0.072917762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPROACET,5,2,0,0,102.133,3.236245955,-1.462827656,0.340932286,-2.793710954,-0.512221074,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HODMSO2,2,3,0,1,111.142,3846153.846,0.287899664,1.675548248,-3.498237358,-0.888390238,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NMXYOL1O2,8,4,1,0,182.155,82644.6281,-5.03899731,-1.906125516,-5.088608581,-1.802291013,0,0,0,0,0,0,0,0,1,0,0,0,0,1
METLOBPROH,9,4,0,0,184.191,6993006.993,-5.251370449,-2.903147067,-6.065466018,-2.301211488,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DMMBOH,3,3,0,0,92.094,540540.5405,-3.025277924,-0.483750984,-3.397290487,-0.796932973,1,0,0,0,0,0,0,0,2,0,0,0,0,0
NPHENOOH,6,8,1,0,221.121,94339622642,-8.764895066,-5.525467025,-7.413492712,-3.025448928,1,0,0,0,0,1,0,0,1,0,0,1,1,0
SBUACONEO,6,4,0,0,145.134,5780.346821,-2.823875192,-0.894117247,-5.192928315,-1.806801887,0,0,0,1,0,0,0,1,0,0,0,0,0,0
HO1C3O2,3,3,0,0,91.086,2272727.273,-2.32010379,0.015473941,-3.392510781,-0.792153267,1,0,0,0,0,0,0,0,1,0,0,0,0,0
C57NO3,5,6,1,0,179.128,1748251748,-8.858033626,-4.402589694,-5.518188537,-2.017072707,2,0,1,0,0,0,0,0,1,0,0,0,1,0
C1313NO3,13,6,1,0,287.312,21691973970,-11.41303916,-6.540062395,-8.442287916,-3.604313162,1,0,2,0,0,0,0,0,1,0,0,0,1,0
HEXBOH,6,1,0,0,102.177,56.81818182,-2.888688029,-0.340165012,-2.476283726,-0.350961441,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M3HEXAO2,7,2,0,0,131.195,26.80965147,-1.835030958,0.250775116,-3.600820879,-0.975955377,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ETOHOCHO,3,3,0,0,90.078,85470.08547,-2.797072737,-0.464278141,-3.387677886,-0.787320372,1,0,0,0,0,0,0,1,0,0,0,0,0,0
C51CO2H,6,3,0,0,130.143,1540832.049,-5.15386744,-2.276255814,-4.112779964,-1.234470403,0,0,0,1,1,0,0,0,0,0,0,0,0,0
C117NO3,11,6,1,0,259.258,69444444444,-10.18073798,-5.978798581,-7.698995729,-3.204549934,1,0,1,1,0,0,0,0,1,0,0,0,1,0
C112O,11,3,0,0,201.286,366.3003663,-5.948080062,-2.715033051,-5.986244149,-2.279894427,1,0,0,1,0,0,0,0,0,0,0,0,0,0
